v_des,controller,outcome,steps_after_trigger,time_to_stop
0.2,capture,stopped,2,2.299999999999912
0.4,capture,stopped,3,2.699999999999868
0.6,capture,stopped,3,2.699999999999868
0.8,capture,stopped,3,2.699999999999868
1.0,capture,stopped,3,2.699999999999868
1.2,capture,stopped,3,2.699999999999868
1.4,capture,stopped,4,3.099999999999824
1.6,capture,stopped,4,3.099999999999824
1.8,capture,stopped,4,3.099999999999824
2.0,capture,stopped,4,3.099999999999824
2.2,capture,stopped,4,3.099999999999824
2.4,capture,stopped,5,3.4999999999997797
2.6,capture,stopped,5,3.4999999999997797
2.8,capture,stopped,6,3.8999999999997357
3.0,capture,stopped,6,3.8999999999997357
3.2,capture,fell,0,
3.4,capture,fell,0,
3.6,capture,fell,0,
3.8,capture,fell,0,
4.0,capture,fell,0,
0.2,naive,fell,2,
0.4,naive,fell,1,
0.6,naive,fell,1,
0.8,naive,fell,1,
1.0,naive,fell,1,
1.2,naive,fell,0,
1.4,naive,fell,0,
1.6,naive,fell,0,
1.8,naive,fell,0,
2.0,naive,fell,0,
2.2,naive,fell,0,
2.4,naive,fell,0,
2.6,naive,fell,0,
2.8,naive,fell,0,
3.0,naive,fell,0,
3.2,naive,fell,0,
3.4,naive,fell,0,
3.6,naive,fell,0,
3.8,naive,fell,0,
4.0,naive,fell,0,
